cod_ibge;municipio;area_km;cod_ra;ra;cod_rm;rm;cod_drs;drs;cod_r_saude;r_saude
3511508;Cerquilho;127,803;5;RA Sorocaba;5;RM Sorocaba;6;DRS Sorocaba;35161;Itapetininga
3511607;Cesário Lange;190,392;5;RA Sorocaba;5;RM Sorocaba;6;DRS Sorocaba;35161;Itapetininga
3511706;Charqueada;175,846;6;RA Campinas;9;RM Piracicaba;11;DRS Piracicaba;35103;Piracicaba
3511904;Clementina;168,59;10;RA Araçatuba;9;Demais municípios;7;DRS Araçatuba;35023;Consórcios do DRS II
3512001;Colina;422,303;14;RA Barretos;9;Demais municípios;16;DRS Barretos;35051;Norte - Barretos
3512100;Colômbia;728,648;14;RA Barretos;9;Demais municípios;16;DRS Barretos;35051;Norte - Barretos
3512209;Conchal;182,793;6;RA Campinas;9;RM Piracicaba;11;DRS Piracicaba;35101;Araras
3512308;Conchas;466,12;5;RA Sorocaba;9;Demais municípios;12;DRS Bauru;35063;Polo Cuesta
3512407;Cordeirópolis;137,579;6;RA Campinas;9;RM Piracicaba;11;DRS Piracicaba;35102;Limeira
3512506;Coroados;246,825;10;RA Araçatuba;9;Demais municípios;7;DRS Araçatuba;35023;Consórcios do DRS II
3512605;Coronel Macedo;303,83;16;RA Itapeva;9;Demais municípios;12;DRS Bauru;35061;Vale do Jurumirim
3512704;Corumbataí;278,622;6;RA Campinas;9;RM Piracicaba;11;DRS Piracicaba;35104;Rio Claro
3512803;Cosmópolis;154,665;6;RA Campinas;3;RM Campinas;3;DRS Campinas;35072;Região Metropolitana de Campinas
3512902;Cosmorama;441,68;9;RA São José do Rio Preto;9;Demais municípios;15;DRS São José do Rio Preto;35157;Votuporanga
3513009;Cotia;323,994;1;RM  São Paulo;1;RM São Paulo;10;DRS Grande São Paulo;35013;Mananciais
3513108;Cravinhos;311,423;7;RA Ribeirão Preto;6;RM Ribeirão Preto;1;DRS Ribeirão Preto;35132;Aquífero Guarani
3513207;Cristais Paulista;385,23;15;RA Franca;9;Demais municípios;4;DRS Franca;35081;Três Colinas
3513306;Cruzália;149,33;12;RA Marília;9;Demais municípios;5;DRS Marília;35092;Assis
3513405;Cruzeiro;305,699;4;RA São José dos Campos;4;RM Vale Paraíba e Litoral Norte;17;DRS Taubaté;35172;Circuito da Fé e Vale Histórico
3513504;Cubatão;142,879;3;RA Santos;2;RM Baixada Santista;13;DRS Baixada Santista;35041;Baixada Santista
