cod_ibge;municipio;area_km;cod_ra;ra;cod_rm;rm;cod_drs;drs;cod_r_saude;r_saude
3526902;Limeira;580,711;6;RA Campinas;9;RM Piracicaba;11;DRS Piracicaba;35102;Limeira
3527009;Lindóia;48,756;6;RA Campinas;9;Demais municípios;3;DRS Campinas;35074;Circuito das Águas
3527108;Lins;570,058;8;RA Bauru;9;Demais municípios;12;DRS Bauru;35065;Lins
3527207;Lorena;414,16;4;RA São José dos Campos;4;RM Vale Paraíba e Litoral Norte;17;DRS Taubaté;35172;Circuito da Fé e Vale Histórico
3527256;Lourdes;113,94;10;RA Araçatuba;9;Demais municípios;7;DRS Araçatuba;35023;Consórcios do DRS II
3527306;Louveira;55,738;6;RA Campinas;9;RM Jundiaí;3;DRS Campinas;35073;Jundiaí
3527405;Lucélia;314,81;11;RA Presidente Prudente;9;Demais municípios;5;DRS Marília;35091;Adamantina
3527504;Lucianópolis;189,536;8;RA Bauru;9;Demais municípios;12;DRS Bauru;35062;Bauru
3527603;Luís Antônio;598,257;7;RA Ribeirão Preto;6;RM Ribeirão Preto;1;DRS Ribeirão Preto;35132;Aquífero Guarani
3527702;Luiziânia;166,576;10;RA Araçatuba;9;Demais municípios;7;DRS Araçatuba;35023;Consórcios do DRS II
3527801;Lupércio;155,171;12;RA Marília;9;Demais municípios;5;DRS Marília;35093;Marília
3527900;Lutécia;475,226;12;RA Marília;9;Demais municípios;5;DRS Marília;35092;Assis
3528007;Macatuba;224,514;8;RA Bauru;9;Demais municípios;12;DRS Bauru;35062;Bauru
3528106;Macaubal;248,087;9;RA São José do Rio Preto;9;RM São José do Rio Preto;15;DRS São José do Rio Preto;35157;Votuporanga
3528205;Macedônia;327,567;9;RA São José do Rio Preto;9;Demais municípios;15;DRS São José do Rio Preto;35154;Fernandópolis
3528304;Magda;312,282;9;RA São José do Rio Preto;9;Demais municípios;15;DRS São José do Rio Preto;35157;Votuporanga
3528403;Mairinque;210,149;5;RA Sorocaba;5;RM Sorocaba;6;DRS Sorocaba;35163;Sorocaba
3528502;Mairiporã;320,697;1;RM  São Paulo;1;RM São Paulo;10;DRS Grande São Paulo;35012;Franco da Rocha
3528601;Manduri;229,046;5;RA Sorocaba;9;Demais municípios;12;DRS Bauru;35061;Vale do Jurumirim
3528700;Marabá Paulista;919,519;11;RA Presidente Prudente;9;Demais municípios;2;DRS Presidente Prudente;35114;Extremo Oeste Paulista
3528809;Maracaí;533,498;12;RA Marília;9;Demais municípios;5;DRS Marília;35092;Assis
3528858;Marapoama;111,267;9;RA São José do Rio Preto;9;Demais municípios;15;DRS São José do Rio Preto;35151;Catanduva
3528908;Mariápolis;186,544;11;RA Presidente Prudente;9;Demais municípios;5;DRS Marília;35091;Adamantina
3529005;Marília;1170,515;12;RA Marília;9;Demais municípios;5;DRS Marília;35093;Marília
3529104;Marinópolis;77,827;9;RA São José do Rio Preto;9;Demais municípios;15;DRS São José do Rio Preto;35153;Jales
3529203;Martinópolis;1254,032;11;RA Presidente Prudente;9;Demais municípios;2;DRS Presidente Prudente;35112;Alta Sorocabana
3529302;Matão;524,899;13;RA Central;9;Demais municípios;8;DRS Araraquara;35033;Norte do DRS III
3529401;Mauá;61,937;1;RM  São Paulo;1;RM São Paulo;10;DRS Grande São Paulo;35015;Grande ABC
3529500;Mendonça;195,151;9;RA São José do Rio Preto;9;RM São José do Rio Preto;15;DRS São José do Rio Preto;35156;José Bonifácio
3529609;Meridiano;228,199;9;RA São José do Rio Preto;9;Demais municípios;15;DRS São José do Rio Preto;35154;Fernandópolis
3529658;Mesópolis;148,636;9;RA São José do Rio Preto;9;Demais municípios;15;DRS São José do Rio Preto;35153;Jales
3529708;Miguelópolis;820,849;15;RA Franca;9;Demais municípios;4;DRS Franca;35083;Alta Mogiana
3529807;Mineiros do Tietê;213,242;8;RA Bauru;9;Demais municípios;12;DRS Bauru;35064;Jaú
3529906;Miracatu;1001,484;2;RA Registro;9;Demais municípios;9;DRS Registro;35121;Vale do Ribeira
3530003;Mira Estrela;216,825;9;RA São José do Rio Preto;9;Demais municípios;15;DRS São José do Rio Preto;35154;Fernandópolis
3530102;Mirandópolis;917,694;10;RA Araçatuba;9;Demais municípios;7;DRS Araçatuba;35022;Lagos do DRS II
3530201;Mirante do Paranapanema;1238,931;11;RA Presidente Prudente;9;Demais municípios;2;DRS Presidente Prudente;35115;Pontal do Paranapanema
3530300;Mirassol;243,228;9;RA São José do Rio Preto;9;RM São José do Rio Preto;15;DRS São José do Rio Preto;35155;São José do Rio Preto
3530409;Mirassolândia;166,125;9;RA São José do Rio Preto;9;RM São José do Rio Preto;15;DRS São José do Rio Preto;35155;São José do Rio Preto
3530508;Mococa;855,156;6;RA Campinas;6;RM Ribeirão Preto;14;DRS São João da Boa Vista;35143;Rio Pardo
3530607;Mogi das Cruzes;712,541;1;RM  São Paulo;1;RM São Paulo;10;DRS Grande São Paulo;35011;Alto do Tietê
3530706;Mogi Guaçu;812,753;6;RA Campinas;9;Demais municípios;14;DRS São João da Boa Vista;35141;Baixa Mogiana
3530805;Mogi Mirim;497,708;6;RA Campinas;9;Demais municípios;14;DRS São João da Boa Vista;35141;Baixa Mogiana
3530904;Mombuca;133,698;6;RA Campinas;9;RM Piracicaba;11;DRS Piracicaba;35103;Piracicaba
3531001;Monções;104,352;9;RA São José do Rio Preto;9;Demais municípios;15;DRS São José do Rio Preto;35157;Votuporanga
3531100;Mongaguá;142,755;3;RA Santos;2;RM Baixada Santista;13;DRS Baixada Santista;35041;Baixada Santista
3531209;Monte Alegre do Sul;110,308;6;RA Campinas;9;Demais municípios;3;DRS Campinas;35074;Circuito das Águas
3531308;Monte Alto;346,95;7;RA Ribeirão Preto;6;RM Ribeirão Preto;1;DRS Ribeirão Preto;35131;Horizonte Verde
3531407;Monte Aprazível;495,559;9;RA São José do Rio Preto;9;RM São José do Rio Preto;15;DRS São José do Rio Preto;35156;José Bonifácio
3531506;Monte Azul Paulista;263,463;14;RA Barretos;9;Demais municípios;16;DRS Barretos;35052;Sul - Barretos
3531605;Monte Castelo;233,547;11;RA Presidente Prudente;9;Demais municípios;2;DRS Presidente Prudente;35111;Alta Paulista
3531704;Monteiro Lobato;332,742;4;RA São José dos Campos;4;RM Vale Paraíba e Litoral Norte;17;DRS Taubaté;35171;Alto Vale do Paraíba
3531803;Monte Mor;240,566;6;RA Campinas;3;RM Campinas;3;DRS Campinas;35072;Região Metropolitana de Campinas
3531902;Morro Agudo;1388,127;15;RA Franca;6;RM Ribeirão Preto;4;DRS Franca;35082;Alta Anhanguera
3532009;Morungaba;146,752;6;RA Campinas;3;RM Campinas;3;DRS Campinas;35072;Região Metropolitana de Campinas
3532058;Motuca;228,7;13;RA Central;9;Demais municípios;8;DRS Araraquara;35031;Central do DRS III
3532108;Murutinga do Sul;250,873;10;RA Araçatuba;9;Demais municípios;7;DRS Araçatuba;35022;Lagos do DRS II
3532157;Nantes;286,647;11;RA Presidente Prudente;9;Demais municípios;2;DRS Presidente Prudente;35113;Alto Capivari
3532207;Narandiba;357,325;11;RA Presidente Prudente;9;Demais municípios;2;DRS Presidente Prudente;35112;Alta Sorocabana
3532306;Natividade da Serra;833,372;4;RA São José dos Campos;4;RM Vale Paraíba e Litoral Norte;17;DRS Taubaté;35174;Vale do Paraíba/Região Serrana
3532405;Nazaré Paulista;326,254;6;RA Campinas;9;Demais municípios;3;DRS Campinas;35071;Bragança
3532504;Neves Paulista;219,05;9;RA São José do Rio Preto;9;RM São José do Rio Preto;15;DRS São José do Rio Preto;35155;São José do Rio Preto
3532603;Nhandeara;436,159;9;RA São José do Rio Preto;9;Demais municípios;15;DRS São José do Rio Preto;35157;Votuporanga
3532702;Nipoã;137,609;9;RA São José do Rio Preto;9;RM São José do Rio Preto;15;DRS São José do Rio Preto;35156;José Bonifácio
3532801;Nova Aliança;217,515;9;RA São José do Rio Preto;9;RM São José do Rio Preto;15;DRS São José do Rio Preto;35155;São José do Rio Preto
3532827;Nova Campina;385,375;16;RA Itapeva;9;Demais municípios;6;DRS Sorocaba;35162;Itapeva
3532843;Nova Canaã Paulista;124,473;9;RA São José do Rio Preto;9;Demais municípios;15;DRS São José do Rio Preto;35152;Santa Fé do Sul
3532868;Nova Castilho;183,396;10;RA Araçatuba;9;Demais municípios;7;DRS Araçatuba;35021;Central do DRS II
3532900;Nova Europa;160,25;13;RA Central;9;Demais municípios;8;DRS Araraquara;35032;Centro Oeste do DRS III
3533007;Nova Granada;531,796;9;RA São José do Rio Preto;9;RM São José do Rio Preto;15;DRS São José do Rio Preto;35155;São José do Rio Preto
3533106;Nova Guataporanga;34,158;11;RA Presidente Prudente;9;Demais municípios;2;DRS Presidente Prudente;35111;Alta Paulista
3533205;Nova Independência;265,029;10;RA Araçatuba;9;Demais municípios;7;DRS Araçatuba;35022;Lagos do DRS II
3533254;Novais;117,772;9;RA São José do Rio Preto;9;Demais municípios;15;DRS São José do Rio Preto;35151;Catanduva
3533304;Nova Luzitânia;73,816;10;RA Araçatuba;9;Demais municípios;7;DRS Araçatuba;35021;Central do DRS II
3533403;Nova Odessa;73,788;6;RA Campinas;3;RM Campinas;3;DRS Campinas;35072;Região Metropolitana de Campinas
3533502;Novo Horizonte;931,743;9;RA São José do Rio Preto;9;Demais municípios;15;DRS São José do Rio Preto;35151;Catanduva
3533601;Nuporanga;348,265;15;RA Franca;6;RM Ribeirão Preto;4;DRS Franca;35082;Alta Anhanguera
3533700;Ocauçu;301,036;12;RA Marília;9;Demais municípios;5;DRS Marília;35093;Marília
3533809;Óleo;198,938;12;RA Marília;9;Demais municípios;5;DRS Marília;35094;Ourinhos
3533908;Olímpia;802,555;14;RA Barretos;9;RM São José do Rio Preto;16;DRS Barretos;35051;Norte - Barretos
3534005;Onda Verde;242,946;9;RA São José do Rio Preto;9;RM São José do Rio Preto;15;DRS São José do Rio Preto;35155;São José do Rio Preto
3534104;Oriente;218,668;12;RA Marília;9;Demais municípios;5;DRS Marília;35093;Marília
3534203;Orindiúva;247,378;9;RA São José do Rio Preto;9;RM São José do Rio Preto;15;DRS São José do Rio Preto;35155;São José do Rio Preto
3534302;Orlândia;291,765;15;RA Franca;6;RM Ribeirão Preto;4;DRS Franca;35082;Alta Anhanguera
3534401;Osasco;64,954;1;RM  São Paulo;1;RM São Paulo;10;DRS Grande São Paulo;35014;Rota dos Bandeirantes
3534500;Oscar Bressane;222,13;12;RA Marília;9;Demais municípios;5;DRS Marília;35093;Marília
3534609;Osvaldo Cruz;248,038;11;RA Presidente Prudente;9;Demais municípios;5;DRS Marília;35091;Adamantina
3534708;Ourinhos;295,818;12;RA Marília;9;Demais municípios;5;DRS Marília;35094;Ourinhos
3534757;Ouroeste;288,648;9;RA São José do Rio Preto;9;Demais municípios;15;DRS São José do Rio Preto;35154;Fernandópolis
3534807;Ouro Verde;266,778;11;RA Presidente Prudente;9;Demais municípios;2;DRS Presidente Prudente;35111;Alta Paulista
3534906;Pacaembu;339,375;11;RA Presidente Prudente;9;Demais municípios;5;DRS Marília;35091;Adamantina
3535002;Palestina;697,701;9;RA São José do Rio Preto;9;RM São José do Rio Preto;15;DRS São José do Rio Preto;35155;São José do Rio Preto
3535101;Palmares Paulista;82,125;9;RA São José do Rio Preto;9;Demais municípios;15;DRS São José do Rio Preto;35151;Catanduva
3535200;Palmeira d'Oeste;318,74;9;RA São José do Rio Preto;9;Demais municípios;15;DRS São José do Rio Preto;35153;Jales
3535309;Palmital;548,407;12;RA Marília;9;Demais municípios;5;DRS Marília;35092;Assis
3535408;Panorama;356,05;11;RA Presidente Prudente;9;Demais municípios;2;DRS Presidente Prudente;35111;Alta Paulista
3535507;Paraguaçu Paulista;1001,492;12;RA Marília;9;Demais municípios;5;DRS Marília;35092;Assis
3535606;Paraibuna;809,576;4;RA São José dos Campos;4;RM Vale Paraíba e Litoral Norte;17;DRS Taubaté;35171;Alto Vale do Paraíba
3535705;Paraíso;155,186;9;RA São José do Rio Preto;9;Demais municípios;15;DRS São José do Rio Preto;35151;Catanduva
3535804;Paranapanema;1018,724;16;RA Itapeva;9;Demais municípios;12;DRS Bauru;35061;Vale do Jurumirim
3535903;Paranapuã;140,354;9;RA São José do Rio Preto;9;Demais municípios;15;DRS São José do Rio Preto;35153;Jales
3536000;Parapuã;366,664;12;RA Marília;9;Demais municípios;5;DRS Marília;35095;Tupã
3536109;Pardinho;209,894;5;RA Sorocaba;9;Demais municípios;12;DRS Bauru;35063;Polo Cuesta
3536208;Pariquera-Açu;359,414;2;RA Registro;9;Demais municípios;9;DRS Registro;35121;Vale do Ribeira
3536257;Parisi;84,737;9;RA São José do Rio Preto;9;Demais municípios;15;DRS São José do Rio Preto;35157;Votuporanga
3536307;Patrocínio Paulista;602,848;15;RA Franca;9;Demais municípios;4;DRS Franca;35081;Três Colinas
3536406;Paulicéia;374,091;11;RA Presidente Prudente;9;Demais municípios;2;DRS Presidente Prudente;35111;Alta Paulista
3536505;Paulínia;138,777;6;RA Campinas;3;RM Campinas;3;DRS Campinas;35072;Região Metropolitana de Campinas
3536570;Paulistânia;256,178;8;RA Bauru;9;Demais municípios;12;DRS Bauru;35062;Bauru
3536604;Paulo de Faria;737,986;9;RA São José do Rio Preto;9;RM São José do Rio Preto;15;DRS São José do Rio Preto;35155;São José do Rio Preto
3536703;Pederneiras;727,482;8;RA Bauru;9;Demais municípios;12;DRS Bauru;35062;Bauru
3536802;Pedra Bela;158,587;6;RA Campinas;9;Demais municípios;3;DRS Campinas;35071;Bragança
3536901;Pedranópolis;260,101;9;RA São José do Rio Preto;9;Demais municípios;15;DRS São José do Rio Preto;35154;Fernandópolis
3537008;Pedregulho;712,604;15;RA Franca;9;Demais municípios;4;DRS Franca;35081;Três Colinas
3537107;Pedreira;108,817;6;RA Campinas;3;RM Campinas;3;DRS Campinas;35072;Região Metropolitana de Campinas
3537156;Pedrinhas Paulista;152,309;12;RA Marília;9;Demais municípios;5;DRS Marília;35092;Assis
3537206;Pedro de Toledo;670,44;2;RA Registro;9;Demais municípios;9;DRS Registro;35121;Vale do Ribeira
3537305;Penápolis;711,314;10;RA Araçatuba;9;Demais municípios;7;DRS Araçatuba;35023;Consórcios do DRS II
3537404;Pereira Barreto;974,247;10;RA Araçatuba;9;Demais municípios;7;DRS Araçatuba;35022;Lagos do DRS II
3537503;Pereiras;223,136;5;RA Sorocaba;9;Demais municípios;12;DRS Bauru;35063;Polo Cuesta
3537602;Peruíbe;326,216;3;RA Santos;2;RM Baixada Santista;13;DRS Baixada Santista;35041;Baixada Santista
3537701;Piacatu;232,488;10;RA Araçatuba;9;Demais municípios;7;DRS Araçatuba;35023;Consórcios do DRS II
3537800;Piedade;746,868;5;RA Sorocaba;5;RM Sorocaba;6;DRS Sorocaba;35163;Sorocaba
3537909;Pilar do Sul;681,248;5;RA Sorocaba;5;RM Sorocaba;6;DRS Sorocaba;35163;Sorocaba
3538006;Pindamonhangaba;731,355;4;RA São José dos Campos;4;RM Vale Paraíba e Litoral Norte;17;DRS Taubaté;35174;Vale do Paraíba/Região Serrana
3538105;Pindorama;184,825;9;RA São José do Rio Preto;9;Demais municípios;15;DRS São José do Rio Preto;35151;Catanduva
3538204;Pinhalzinho;154,529;6;RA Campinas;9;Demais municípios;3;DRS Campinas;35071;Bragança
3538303;Piquerobi;482,769;11;RA Presidente Prudente;9;Demais municípios;2;DRS Presidente Prudente;35114;Extremo Oeste Paulista
3538501;Piquete;175,996;4;RA São José dos Campos;4;RM Vale Paraíba e Litoral Norte;17;DRS Taubaté;35172;Circuito da Fé e Vale Histórico
3538600;Piracaia;385,568;6;RA Campinas;9;Demais municípios;3;DRS Campinas;35071;Bragança
3538709;Piracicaba;1378,069;6;RA Campinas;9;RM Piracicaba;11;DRS Piracicaba;35103;Piracicaba
3538808;Piraju;504,591;16;RA Itapeva;9;Demais municípios;12;DRS Bauru;35061;Vale do Jurumirim
3538907;Pirajuí;823,758;8;RA Bauru;9;Demais municípios;12;DRS Bauru;35062;Bauru
3539004;Pirangi;215,809;14;RA Barretos;9;Demais municípios;15;DRS São José do Rio Preto;35151;Catanduva
3539103;Pirapora do Bom Jesus;108,489;1;RM  São Paulo;1;RM São Paulo;10;DRS Grande São Paulo;35014;Rota dos Bandeirantes
3539202;Pirapozinho;477,673;11;RA Presidente Prudente;9;Demais municípios;2;DRS Presidente Prudente;35112;Alta Sorocabana
3539301;Pirassununga;727,118;6;RA Campinas;9;RM Piracicaba;11;DRS Piracicaba;35101;Araras
3539400;Piratininga;402,409;8;RA Bauru;9;Demais municípios;12;DRS Bauru;35062;Bauru
3539509;Pitangueiras;430,638;7;RA Ribeirão Preto;6;RM Ribeirão Preto;1;DRS Ribeirão Preto;35131;Horizonte Verde
3539608;Planalto;289,825;9;RA São José do Rio Preto;9;RM São José do Rio Preto;15;DRS São José do Rio Preto;35156;José Bonifácio
3539707;Platina;327,48;12;RA Marília;9;Demais municípios;5;DRS Marília;35092;Assis
3539806;Poá;17,264;1;RM  São Paulo;1;RM São Paulo;10;DRS Grande São Paulo;35011;Alto do Tietê
3539905;Poloni;135,119;9;RA São José do Rio Preto;9;RM São José do Rio Preto;15;DRS São José do Rio Preto;35156;José Bonifácio
3540002;Pompéia;784,674;12;RA Marília;9;Demais municípios;5;DRS Marília;35093;Marília
3540101;Pongaí;183,399;8;RA Bauru;9;Demais municípios;12;DRS Bauru;35065;Lins
3540200;Pontal;356,371;7;RA Ribeirão Preto;6;RM Ribeirão Preto;1;DRS Ribeirão Preto;35131;Horizonte Verde
3540259;Pontalinda;209,525;9;RA São José do Rio Preto;9;Demais municípios;15;DRS São José do Rio Preto;35153;Jales
3540309;Pontes Gestal;217,505;9;RA São José do Rio Preto;9;Demais municípios;15;DRS São José do Rio Preto;35157;Votuporanga
3540408;Populina;315,938;9;RA São José do Rio Preto;9;Demais municípios;15;DRS São José do Rio Preto;35154;Fernandópolis
3540507;Porangaba;265,689;5;RA Sorocaba;9;Demais municípios;12;DRS Bauru;35063;Polo Cuesta
3540606;Porto Feliz;556,706;5;RA Sorocaba;5;RM Sorocaba;6;DRS Sorocaba;35163;Sorocaba
3540705;Porto Ferreira;244,906;13;RA Central;9;Demais municípios;8;DRS Araraquara;35034;Coração do DRS III
3540754;Potim;44,643;4;RA São José dos Campos;4;RM Vale Paraíba e Litoral Norte;17;DRS Taubaté;35172;Circuito da Fé e Vale Histórico
3540804;Potirendaba;342,492;9;RA São José do Rio Preto;9;RM São José do Rio Preto;15;DRS São José do Rio Preto;35155;São José do Rio Preto
3540853;Pracinha;63,054;11;RA Presidente Prudente;9;Demais municípios;5;DRS Marília;35091;Adamantina
3540903;Pradópolis;167,378;7;RA Ribeirão Preto;6;RM Ribeirão Preto;1;DRS Ribeirão Preto;35131;Horizonte Verde
3541000;Praia Grande;149,652;3;RA Santos;2;RM Baixada Santista;13;DRS Baixada Santista;35041;Baixada Santista
3541059;Pratânia;175,1;5;RA Sorocaba;9;Demais municípios;12;DRS Bauru;35063;Polo Cuesta
3541109;Presidente Alves;286,642;8;RA Bauru;9;Demais municípios;12;DRS Bauru;35062;Bauru
3541208;Presidente Bernardes;749,233;11;RA Presidente Prudente;9;Demais municípios;2;DRS Presidente Prudente;35112;Alta Sorocabana
3541307;Presidente Epitácio;1260,281;11;RA Presidente Prudente;9;Demais municípios;2;DRS Presidente Prudente;35114;Extremo Oeste Paulista
3541406;Presidente Prudente;560,637;11;RA Presidente Prudente;9;Demais municípios;2;DRS Presidente Prudente;35112;Alta Sorocabana
3541505;Presidente Venceslau;755,203;11;RA Presidente Prudente;9;Demais municípios;2;DRS Presidente Prudente;35114;Extremo Oeste Paulista
3541604;Promissão;779,2;8;RA Bauru;9;Demais municípios;12;DRS Bauru;35065;Lins
3541653;Quadra;205,672;5;RA Sorocaba;9;Demais municípios;6;DRS Sorocaba;35161;Itapetininga
3541703;Quatá;651,341;12;RA Marília;9;Demais municípios;2;DRS Presidente Prudente;35113;Alto Capivari
3541802;Queiroz;234,914;12;RA Marília;9;Demais municípios;5;DRS Marília;35095;Tupã
3541901;Queluz;249,399;4;RA São José dos Campos;4;RM Vale Paraíba e Litoral Norte;17;DRS Taubaté;35172;Circuito da Fé e Vale Histórico
3542008;Quintana;318,937;12;RA Marília;9;Demais municípios;5;DRS Marília;35093;Marília
3542107;Rafard;121,645;6;RA Campinas;9;RM Piracicaba;11;DRS Piracicaba;35103;Piracicaba
3542206;Rancharia;1587,498;11;RA Presidente Prudente;9;Demais municípios;2;DRS Presidente Prudente;35113;Alto Capivari
3542305;Redenção da Serra;309,441;4;RA São José dos Campos;4;RM Vale Paraíba e Litoral Norte;17;DRS Taubaté;35174;Vale do Paraíba/Região Serrana
3542404;Regente Feijó;263,313;11;RA Presidente Prudente;9;Demais municípios;2;DRS Presidente Prudente;35112;Alta Sorocabana
3542503;Reginópolis;410,406;8;RA Bauru;9;Demais municípios;12;DRS Bauru;35062;Bauru
3542602;Registro;722,201;2;RA Registro;9;Demais municípios;9;DRS Registro;35121;Vale do Ribeira
3542701;Restinga;245,746;15;RA Franca;9;Demais municípios;4;DRS Franca;35081;Três Colinas
3542800;Ribeira;335,759;16;RA Itapeva;9;Demais municípios;6;DRS Sorocaba;35162;Itapeva
3542909;Ribeirão Bonito;471,553;13;RA Central;9;Demais municípios;8;DRS Araraquara;35034;Coração do DRS III
3543006;Ribeirão Branco;697,5;16;RA Itapeva;9;Demais municípios;6;DRS Sorocaba;35162;Itapeva
3543105;Ribeirão Corrente;148,332;15;RA Franca;9;Demais municípios;4;DRS Franca;35081;Três Colinas
3543204;Ribeirão do Sul;203,208;12;RA Marília;9;Demais municípios;5;DRS Marília;35094;Ourinhos
3543238;Ribeirão dos Índios;196,446;11;RA Presidente Prudente;9;Demais municípios;2;DRS Presidente Prudente;35112;Alta Sorocabana
3543253;Ribeirão Grande;333,363;16;RA Itapeva;9;Demais municípios;6;DRS Sorocaba;35161;Itapetininga
3543303;Ribeirão Pires;98,972;1;RM  São Paulo;1;RM São Paulo;10;DRS Grande São Paulo;35015;Grande ABC
3543402;Ribeirão Preto;650,916;7;RA Ribeirão Preto;6;RM Ribeirão Preto;1;DRS Ribeirão Preto;35132;Aquífero Guarani
3543501;Riversul;385,878;16;RA Itapeva;9;Demais municípios;6;DRS Sorocaba;35162;Itapeva
3543600;Rifaina;162,508;15;RA Franca;9;Demais municípios;4;DRS Franca;35081;Três Colinas
3543709;Rincão;316,639;13;RA Central;9;Demais municípios;8;DRS Araraquara;35031;Central do DRS III
3543808;Rinópolis;358,481;12;RA Marília;9;Demais municípios;5;DRS Marília;35095;Tupã
3543907;Rio Claro;498,422;6;RA Campinas;9;RM Piracicaba;11;DRS Piracicaba;35104;Rio Claro
3544004;Rio das Pedras;226,657;6;RA Campinas;9;RM Piracicaba;11;DRS Piracicaba;35103;Piracicaba
3544103;Rio Grande da Serra;36,341;1;RM  São Paulo;1;RM São Paulo;10;DRS Grande São Paulo;35015;Grande ABC
3544202;Riolândia;631,897;9;RA São José do Rio Preto;9;Demais municípios;15;DRS São José do Rio Preto;35157;Votuporanga
3544251;Rosana;744,011;11;RA Presidente Prudente;9;Demais municípios;2;DRS Presidente Prudente;35115;Pontal do Paranapanema
3544301;Roseira;129,847;4;RA São José dos Campos;4;RM Vale Paraíba e Litoral Norte;17;DRS Taubaté;35172;Circuito da Fé e Vale Histórico
3544400;Rubiácea;236,484;10;RA Araçatuba;9;Demais municípios;7;DRS Araçatuba;35021;Central do DRS II
3544509;Rubinéia;242,877;9;RA São José do Rio Preto;9;Demais municípios;15;DRS São José do Rio Preto;35152;Santa Fé do Sul
3544608;Sabino;305,285;8;RA Bauru;9;Demais municípios;12;DRS Bauru;35065;Lins
3544707;Sagres;147,935;11;RA Presidente Prudente;9;Demais municípios;5;DRS Marília;35091;Adamantina
3544806;Sales;308,555;9;RA São José do Rio Preto;9;RM São José do Rio Preto;15;DRS São José do Rio Preto;35151;Catanduva
3544905;Sales Oliveira;305,776;15;RA Franca;6;RM Ribeirão Preto;4;DRS Franca;35082;Alta Anhanguera
3545001;Salesópolis;424,997;1;RM  São Paulo;1;RM São Paulo;10;DRS Grande São Paulo;35011;Alto do Tietê
3545100;Salmourão;172,934;11;RA Presidente Prudente;9;Demais municípios;5;DRS Marília;35091;Adamantina
3545159;Saltinho;99,738;6;RA Campinas;9;RM Piracicaba;11;DRS Piracicaba;35103;Piracicaba
3545209;Salto;133,057;5;RA Sorocaba;5;RM Sorocaba;6;DRS Sorocaba;35163;Sorocaba
3545308;Salto de Pirapora;280,412;5;RA Sorocaba;5;RM Sorocaba;6;DRS Sorocaba;35163;Sorocaba
3545407;Salto Grande;188,441;12;RA Marília;9;Demais municípios;5;DRS Marília;35094;Ourinhos
3545506;Sandovalina;455,856;11;RA Presidente Prudente;9;Demais municípios;2;DRS Presidente Prudente;35112;Alta Sorocabana
3545605;Santa Adélia;330,269;9;RA São José do Rio Preto;9;Demais municípios;15;DRS São José do Rio Preto;35151;Catanduva
3545704;Santa Albertina;272,692;9;RA São José do Rio Preto;9;Demais municípios;15;DRS São José do Rio Preto;35153;Jales
3545803;Santa Bárbara d'Oeste;271,03;6;RA Campinas;3;RM Campinas;3;DRS Campinas;35072;Região Metropolitana de Campinas
3546009;Santa Branca;272,238;4;RA São José dos Campos;4;RM Vale Paraíba e Litoral Norte;17;DRS Taubaté;35171;Alto Vale do Paraíba
3546108;Santa Clara d'Oeste;183,458;9;RA São José do Rio Preto;9;Demais municípios;15;DRS São José do Rio Preto;35152;Santa Fé do Sul
3546207;Santa Cruz da Conceição;150,13;6;RA Campinas;9;RM Piracicaba;11;DRS Piracicaba;35101;Araras
3546256;Santa Cruz da Esperança;148,062;7;RA Ribeirão Preto;6;RM Ribeirão Preto;1;DRS Ribeirão Preto;35133;Vale das Cachoeiras
3546306;Santa Cruz das Palmeiras;295,337;6;RA Campinas;9;Demais municípios;14;DRS São João da Boa Vista;35142;Mantiqueira
3546405;Santa Cruz do Rio Pardo;1114,747;12;RA Marília;9;Demais municípios;5;DRS Marília;35094;Ourinhos
3546504;Santa Ernestina;134,421;13;RA Central;9;Demais municípios;8;DRS Araraquara;35033;Norte do DRS III
3546603;Santa Fé do Sul;206,537;9;RA São José do Rio Preto;9;Demais municípios;15;DRS São José do Rio Preto;35152;Santa Fé do Sul
3546702;Santa Gertrudes;98,291;6;RA Campinas;9;RM Piracicaba;11;DRS Piracicaba;35104;Rio Claro
3546801;Santa Isabel;363,332;1;RM  São Paulo;1;RM São Paulo;10;DRS Grande São Paulo;35011;Alto do Tietê
3546900;Santa Lúcia;153,86;13;RA Central;9;Demais municípios;8;DRS Araraquara;35031;Central do DRS III
3547007;Santa Maria da Serra;252,621;6;RA Campinas;9;RM Piracicaba;11;DRS Piracicaba;35103;Piracicaba
3547106;Santa Mercedes;166,753;11;RA Presidente Prudente;9;Demais municípios;2;DRS Presidente Prudente;35111;Alta Paulista
3547205;Santana da Ponte Pensa;129,888;9;RA São José do Rio Preto;9;Demais municípios;15;DRS São José do Rio Preto;35153;Jales
3547304;Santana de Parnaíba;179,949;1;RM  São Paulo;1;RM São Paulo;10;DRS Grande São Paulo;35014;Rota dos Bandeirantes
3547403;Santa Rita d'Oeste;209,8;9;RA São José do Rio Preto;9;Demais municípios;15;DRS São José do Rio Preto;35152;Santa Fé do Sul
3547502;Santa Rita do Passa Quatro;754,141;13;RA Central;6;RM Ribeirão Preto;1;DRS Ribeirão Preto;35132;Aquífero Guarani
3547601;Santa Rosa de Viterbo;288,576;7;RA Ribeirão Preto;6;RM Ribeirão Preto;1;DRS Ribeirão Preto;35132;Aquífero Guarani
3547650;Santa Salete;79,192;9;RA São José do Rio Preto;9;Demais municípios;15;DRS São José do Rio Preto;35153;Jales
